name,lan,kommun,address,website,phone,email,products,onSiteSales,tastingRoom,gardsförsäljningLicense,rating,reviewCount,_reason
Lottenlund Estate Events AB,Skåne,Lund,"Lottenlundsvägen 2, 254 76 Allerum, Sverige",http://www.lottenlundestate.se/,070-974 17 00,,['vin'],False,True,False,5,55,"small high-rated venue, possible local producer"
Marcellos Farm,Skåne,Kristianstad,"Ugerupsvägen 23, 291 91 Kristianstad, Sverige",http://marcellosfarm.se/,,,['annat'],True,False,False,4.7,20,"small high-rated venue, possible local producer"
PA Frukt AB,Skåne,,"Kiviks St V 7, 277 31 Kivik, Sverige",http://www.pafrukt.se/,0414-712 36,,"['grönsaker', 'frukt']",True,False,False,4.3,99,"small high-rated venue, possible local producer"
Röda Längan AB,Skåne,,"Norrevångsvägen 41, 291 69 Fjälkinge, Sverige",https://www.rodalangan.se/,,,['annat'],True,True,False,4.5,103,"small high-rated venue, possible local producer"
Skogslidens bär,Skåne,,"298 91 Tollarp, Sverige",https://www.facebook.com/profile.php?id=100046231087762,,,['bär'],True,False,False,4.6,26,"small high-rated venue, possible local producer"
Skånska Vilt AB,Skåne,,"PL 1399b, 288 90 Vinslöv, Sverige",http://www.skanskavilt.se/,044-801 02,,['kött'],True,False,False,4.7,93,"small high-rated venue, possible local producer"
Tiosken i Skåne Tranås AB,Skåne,,"273 92 Skåne Tranås, Sverige",https://tiosken.se/,070-481 80 85,,['annat'],True,True,False,4.5,139,"small high-rated venue, possible local producer"
Vidablick - KRAV-odlade grönsaker,Skåne,Hörby,"Vidablick 3104, 242 93 Hörby, Sverige",https://www.vidablicks.se/,070-381 56 39,,['grönsaker'],True,False,False,4.8,82,"small high-rated venue, possible local producer"
Växtkraft Rosenhagen,Skåne,,"Tranesvägen 31, 273 92 Skåne-Tranås, Sverige",http://www.vaxtkraft.se/,0417-201 60,,['grönsaker'],True,False,False,4.4,77,"small high-rated venue, possible local producer"
Äspinge kött,Skåne,Hörby,"Äspinge 5413, 242 95 Hörby, Sverige",http://www.aspingekott.se/,070-576 22 87,,['kött'],True,False,False,4,6,"small high-rated venue, possible local producer"
