live,name,lan,kommun,address,website,phone,products,onSiteSales,tastingRoom,openingHours,season,rating,reviewCount,source,place_id,_source_file
yes,"The Bishops Arms, Kungsgatan (Växjö)",Kronoberg,Växjö,"Kungsgatan 6, 351 04 Växjö, Sverige",https://www.bishopsarms.com/vara-pubar/vaxjo/?utm_source=google&utm_medium=organic&utm_campaign=google-local&utm_content=the-bishops-arms-kungsgatan-vaxjo,0470-276 66,öl,no,yes,"måndag: 17:00–23:00, tisdag: 17:00–23:00, onsdag: 17:00–00:00, torsdag: 17:00–23:00, fredag: 17:00–01:00, lördag: 17:00–01:00, söndag: 17:00–22:00",,4,799,google-places:bryggeri,ChIJQUALqpIjV0YRL9jjL54kcW8,google-places-farms-expansion-3.json
yes,Thoragårds Gårdsbutik,Kronoberg,,"Vegby Thoragård, 342 62 Moheda, Sverige",http://www.thoragard.se/,070-587 63 58,vin,yes,yes,"måndag: 08:00–21:00, tisdag: 08:00–21:00, onsdag: 08:00–21:00, torsdag: 08:00–21:00, fredag: 08:00–21:00, lördag: 08:00–21:00, söndag: 08:00–21:00",,4.4,23,google-places:vingård,ChIJMVeEw8wzV0YRNjhH5LCgaQE,google-places-farms-expansion-3.json
no,Toftastrand konditori,Kronoberg,Växjö,"Lenhovdavägen 72, 352 71 Växjö, Sverige",http://www.toftastrandkonditori.se/,0470-652 90,annat,yes,yes,"måndag: 08:00–18:00, tisdag: 08:00–18:00, onsdag: 08:00–18:00, torsdag: 08:00–18:00, fredag: 08:00–18:00, lördag: 09:00–16:00, söndag: 09:00–16:00",,4.5,1001,google-places:gårdsrestaurang,ChIJW-4tCdwjV0YRFnewj5OqWRs,google-places-farms-expansion-3.json
no,Top Notch Bakery,Kronoberg,Växjö,"Klostergatan 7, 352 30 Växjö, Sverige",https://www.facebook.com/p/Top-Notch-Bakery-100063945724298/,0470-52 36 03,annat,yes,yes,"måndag: 09:00–19:30, tisdag: 09:00–19:30, onsdag: 09:00–19:30, torsdag: 09:00–19:30, fredag: 09:00–18:00, lördag: 09:00–16:30, söndag: Stängt",,4.6,310,google-places:gårdsrestaurang,ChIJuV4UzkEjV0YRcUgE3nIAYGk,google-places-farms-expansion-3.json
no,Umami Grill,Kronoberg,Växjö,"Storgatan 18, 352 31 Växjö, Sverige",http://www.umamigrill.se/,0470-57 00 07,annat,yes,yes,"måndag: Stängt, tisdag: 17:00–23:00, onsdag: 17:00–23:00, torsdag: 17:00–23:00, fredag: 16:00–01:00, lördag: 16:00–01:00, söndag: 16:00–22:00",,4.3,383,google-places:gårdsrestaurang,ChIJQ00XOCAjV0YR6RIQjIIrxnw,google-places-farms-expansion-3.json
no,Umami Monkey,Kronoberg,Växjö,"Storgatan 18, 352 31 Växjö, Sverige",http://www.umamimonkey.se/,0470-73 90 00,annat,yes,yes,"måndag: 11:00–01:00, tisdag: 11:00–01:00, onsdag: 11:00–01:00, torsdag: 11:00–01:00, fredag: 11:00–02:00, lördag: 11:00–02:00, söndag: Stängt",,4.3,1030,google-places:gårdsrestaurang,ChIJ7euDJY0jV0YRpRmlRE2BIDk,google-places-farms-expansion-3.json
no,Urban Smak,Kronoberg,Växjö,"Västergatan 6, 352 30 Växjö, Sverige",https://urbansmak.com/,072-700 69 29,annat,yes,yes,,,4.5,174,google-places:gårdsrestaurang,ChIJL7kX1YwjV0YRcF2VyIMqXXk,google-places-farms-expansion-3.json
no,Violetes kök - Evedals Värdshus,Kronoberg,Växjö,"L J Brandts väg 9, 352 63 Växjö, Sverige",https://www.violeteskok.se/,073-960 54 02,annat,yes,yes,"måndag: 11:30–14:30, tisdag: 11:30–14:30, onsdag: 11:30–14:30, torsdag: 11:30–14:30, fredag: 11:30–14:30, lördag: Stängt, söndag: Stängt",,4.6,339,google-places:gårdsrestaurang,ChIJW1ZbxModV0YRhDryz5QZGfw,google-places-farms-expansion-3.json
yes,Vrankunge Trädgård,Kronoberg,Växjö,"Storegård 5, 355 97 Växjö, Sverige",http://vrankungetradgard.se/,070-854 31 01,grönsaker,yes,yes,"måndag: Stängt, tisdag: Stängt, onsdag: Stängt, torsdag: Stängt, fredag: 11:00–17:00, lördag: 11:00–17:00, söndag: 11:00–17:00",,4.7,258,google-places:gårdscafé,ChIJW54IO40jV0YRxpp7QaNceV4,google-places-farms-expansion-3.json
yes,Abraham Hill,Skåne,,"Skoglösavägen 300-16, 291 93 Önnestad, Sverige",http://abrahamhill.se/,070-602 44 23,grönsaker,yes,no,"måndag: Öppet dygnet runt, tisdag: Öppet dygnet runt, onsdag: Öppet dygnet runt, torsdag: Öppet dygnet runt, fredag: Öppet dygnet runt, lördag: Öppet dygnet runt, söndag: Öppet dygnet runt",,4.2,46,google-places:självplock,ChIJgWzfoqoBVEYRxr61XDvxzkY,google-places-farms-expansion.json
yes,Aftonmora Friesians & Vingård,Skåne,,"Gamla Södåkravägen 306, 263 92 Jonstorp, Sverige",http://www.aftonmora.se/,076-213 58 00,vin,no,yes,,,4.8,16,google-places:vingård,ChIJJ8hjcIwoUkYRIO3Wg34w6Yo,google-places-farms-expansion.json
yes,Angelikas Gård,Skåne,,"Norra Björstorp 2801, 273 55 Brösarp, Sverige",https://angelikasgard.se/,073-596 78 79,annat,yes,no,"måndag: Stängt, tisdag: Stängt, onsdag: Stängt, torsdag: Stängt, fredag: Stängt, lördag: 11:00–16:00, söndag: 11:00–16:00",,4.4,84,google-places:gårdsbutik,ChIJ_QFCt09tVEYRvTXN8JaT-WA,google-places-farms-expansion.json
yes,Annedals Gård,Skåne,Vellinge,"Stävievägen 90, 235 91 Vellinge, Sverige",http://www.annedalsgard.se/,070-842 34 90,annat,yes,no,"måndag: Stängt, tisdag: 13:00–18:00, onsdag: 13:00–18:00, torsdag: 13:00–18:00, fredag: 10:00–16:00, lördag: 10:00–16:00, söndag: Stängt",,4.7,150,google-places:gårdsbutik,ChIJYVxoqKoMU0YR2YZ5CB8_LlY,google-places-farms-expansion.json
yes,"Backagården Café, Vin & Bistro på Österlen",Skåne,,"Östra Kustvägen 987, 271 77 Löderup, Sverige",http://www.backagarden.com/,0411-52 61 12,vin,yes,yes,"måndag: Stängt, tisdag: Stängt, onsdag: Stängt, torsdag: Stängt, fredag: Stängt, lördag: 11:00–17:00, söndag: 11:00–17:00",,4.6,722,google-places:gårdscafé,ChIJfVRWkgFgVEYRaqur_EKkTx4,google-places-farms-expansion.json
yes,Backgården i Raus,Skåne,Helsingborg,"Raus Backgården 1, 253 62 Helsingborg, Sverige",http://www.backgarden.nu/,070-201 59 79,annat,yes,no,"måndag: 10:00–18:00, tisdag: 10:00–18:00, onsdag: 10:00–18:00, torsdag: 10:00–18:00, fredag: 10:00–18:00, lördag: 10:00–18:00, söndag: 10:00–18:00",,4.1,40,google-places:gårdsförsäljning,ChIJm_QIGEIzUkYR6g0i7NL2jpw,google-places-farms-expansion.json
no,Bialitt värdshus,Skåne,Svalöv,"Gryttinge 1270, 268 90 Svalöv, Sverige",https://bialitt.com/,0413-731 25,annat,yes,yes,"måndag: 11:30–16:00, tisdag: Stängt, onsdag: Stängt, torsdag: Stängt, fredag: 11:30–16:00, lördag: 11:30–16:00, söndag: 11:30–16:00",,4.4,573,google-places:gårdscafé,ChIJayhC0XnBU0YR6mI9vEZEaeA,google-places-farms-expansion.json
yes,Bjärhus Gårdsbutik,Skåne,Klippan,"Bjärhus 7742, 264 93 Klippan, Sverige",http://bjarhusgardsbutik.se/,0435-102 95,annat,yes,no,"måndag: Stängt, tisdag: Stängt, onsdag: Stängt, torsdag: 14:00–18:00, fredag: 10:00–18:00, lördag: 10:00–13:00, söndag: Stängt",,4.7,106,google-places:gårdsbutik,ChIJwZtCOdrZU0YRTeN6t7knoXs,google-places-farms-expansion.json
