"Nöbble Gård AB",Kalmar,Rockneby,"Nöbble Gård 110, 395 93 Rockneby, Sverige",http://nobblegard.se/,"070-654 37 81","","[""annat""]",0,0,0,,free,0
"Restaurang & Kafé Ångkvarnen",Kalmar,Kalmar,"Skeppsbrogatan 51, 391 21 Kalmar, Sverige",https://kalmarlansmuseum.se/restaurang/,"0480-45 13 60","","[""annat""]",1,1,0,,free,0
"Rugstorps Lantgård Cafe & Butik",Kalmar,Rockneby,"Rugstorps Gård 115, 395 92 Rockneby, Sverige",http://rugstorp.com/,"070-665 31 31","","[""annat""]",1,1,0,,free,0
"Skälby 4H-gård",Kalmar,Kalmar,"Skälbyallén 5, 392 52 Kalmar, Sverige",https://www.4h.se/skalby/,"","","[""annat""]",1,1,0,,free,0
"Solmarka Gårdsbutik",Kalmar,"Vassmolösa","Arbygatan, 388 94 Vassmolösa, Sverige",http://www.solmarka.se/,"","","[""annat""]",1,1,0,,free,0
"Voxtorpsgården AB",Kalmar,Ljungbyholm,"Voxtorp 411, 388 96 Ljungbyholm, Sverige",http://www.voxtorpsgarden.se/,"070-330 55 49","","[""annat""]",0,0,0,,free,0
"Västersläts Gårdsbutik",Kalmar,Kalmar,"Kläckebergavägen 141, 395 90 Kalmar, Sverige",http://vasterslat.se/,"0480-47 80 83","","[""annat""]",1,0,0,,free,0
"Wirbladhs Gårdshandel Smedby",Kalmar,Kalmar,"Ljungbyvägen 1, 394 70 Kalmar, Sverige",http://wirbladhs.se/,"0480-47 12 43","","[""annat""]",1,0,0,,free,0
"Ängsbackens Handelsträdgård",Kalmar,Kalmar,"Förlösa 517, 395 90 Kalmar, Sverige",http://www.angsbacken.se/,"070-574 48 47","","[""grönsaker""]",1,1,0,,free,0
"Ölands köksmejeri",Kalmar,"Mörbylånga","Alby 121, 380 62 Mörbylånga, Sverige",http://www.olandskoksmejeri.se/,"","","[""mejeri""]",0,0,0,,free,0
"Aftonmora Friesians & Vingård","Skåne",Jonstorp,"Gamla Södåkravägen 306, 263 92 Jonstorp, Sverige",http://www.aftonmora.se/,"076-213 58 00","","[""vin""]",0,1,0,,free,0
"Angelikas Gård","Skåne","Brösarp","Norra Björstorp 2801, 273 55 Brösarp, Sverige",https://angelikasgard.se/,"073-596 78 79","","[""annat""]",1,0,0,,free,0
"Annedals Gård","Skåne",Vellinge,"Stävievägen 90, 235 91 Vellinge, Sverige",http://www.annedalsgard.se/,"070-842 34 90","","[""annat""]",1,0,0,,free,0
"Backagården Café, Vin & Bistro på Österlen","Skåne","Löderup","Östra Kustvägen 987, 271 77 Löderup, Sverige",http://www.backagarden.com/,"0411-52 61 12","","[""vin""]",1,1,0,,free,0
"Backgården i Raus","Skåne",Helsingborg,"Raus Backgården 1, 253 62 Helsingborg, Sverige",http://www.backgarden.nu/,"070-201 59 79","","[""annat""]",1,0,0,,free,0
"Bjärhus Gårdsbutik","Skåne",Klippan,"Bjärhus 7742, 264 93 Klippan, Sverige",http://bjarhusgardsbutik.se/,"0435-102 95","","[""annat""]",1,0,0,,free,0
"Bokeslundsgården","Skåne","Hörby","Norrto 3217, 242 93 Hörby, Sverige",https://bokeslundsgarden.wordpress.com/,"070-456 48 09","","[""annat""]",1,0,0,,free,0
"Bondens Skafferi AB","Skåne","Åhus","Koriandervägen 5, 296 41 Åhus, Sverige",http://www.bondensskafferi.se/,"044-970 97","","[""annat""]",0,0,0,,free,0
"Bondmorans Lanthandel - Eko & Gårdsbutik","Skåne",Tollarp,"Linderödsvägen 150, 298 91 Tollarp, Sverige",http://www.bondmoranslanthandel.se/,"076-137 81 73","","[""annat""]",1,0,0,,free,0
"Bonnarps Hjortgård & Veterinär","Skåne",Ljungbyhed,"Bonnarp 664, 264 53 Ljungbyhed, Sverige",http://www.bonnarpshjort.se/,"0435-182 86","","[""annat""]",1,0,0,,free,0
"Bosjökloster Trädgårdscaféet - en del av Bosjökloster Slott","Skåne","Höör","Bosjökloster 110, 243 95 Höör, Sverige",https://mymenuweb.com/int/restaurants/2332600/?utm_source=google_profile&utm_medium=google_profile&utm_campaign=admin,"","","[""grönsaker""]",1,1,0,,free,0
"Bryggeri 1766","Skåne","Hörby","Fulltofta 4138, 242 94 Hörby, Sverige",http://fulltofta.com/,"070-481 05 10","","[""öl""]",0,1,0,,free,0
"Bärby självplock","Skåne","Säve","Bärby Herrgårdsväg 10, 423 73 Säve, Sverige",https://www.facebook.com/plocken/,"","","[""grönsaker"",""bär""]",1,0,0,,free,0
"Cehlin Vingård","Skåne",Kristianstad,"Torsebro byväg 66, 291 96 Kristianstad, Sverige",http://www.cehlinvingard.se/,"","","[""vin""]",0,1,0,,free,0
"Den Engelska Trädgården","Skåne",Kivik,"Svabesholms Kungsgård, 277 35 Kivik, Sverige",http://www.denengelskatradgarden.se/,"070-516 75 03","","[""grönsaker""]",1,0,0,,free,0
"Ebbessons gårdsmejeri & butik","Skåne","Båstad","Möllhultsvägen 122, 269 93 Båstad, Sverige",https://www.ebbessonsgardsmejeri.se/,"070-227 60 69","","[""mejeri""]",1,0,0,,free,0
"Ekebo gård","Skåne",Vellinge,"Gessie byaväg 6, 235 93 Vellinge, Sverige",http://ekebogard.se/kontakt/,"070-818 32 20","","[""annat""]",1,0,0,,free,0
"Ekesåkra Vingård Österlenvin","Skåne","Löderup","Hagestad Mossaväg 36, 271 77 Löderup, Sverige",http://www.osterlenvin.se/,"070-823 87 14","","[""vin""]",0,1,0,,free,0
"Eriksgården Spettkaksbageri","Skåne","Sjöbo","Hörrs byaväg 272, 275 92 Sjöbo, Sverige",https://www.eriksgarden.nu/spettkaksbageri/,"0416-141 18","","[""grönsaker"",""bakat""]",1,0,0,,free,0
"Flyinge Vingård","Skåne",Flyinge,"Flyinge 802, 247 93 Flyinge, Sverige",http://www.flyingevingard.com/,"","","[""vin""]",0,1,0,,free,0
"Flädergården/Pelargonhuset","Skåne","Vinslöv","Flädergården Vinslöv 1407, 288 90 Vinslöv, Sverige",http://www.fladergarden.se/,"070-548 16 90","","[""annat""]",1,0,0,,free,0
"Flädie Gårdsbutik","Skåne","Flädie","Flädie Norrevångsväg 2, 237 91 Flädie, Sverige",https://gardsbutiktoppen.se/05942165/G%C3%A5rdsbutik_Fl%C3%A4die_6,"","","[""annat""]",1,0,0,,free,0
"Friden Gårdskrog","Skåne",Kivik,"Kivik 267, 267, 277 35 Kivik, Sverige",http://www.friden.nu/,"0414-210 36","","[""annat""]",1,1,0,,free,0
"Fulltofta Gård AB","Skåne","Hörby","242 94 Hörby, Sverige",http://www.fulltofta.com/,"","","[""öl""]",0,1,0,,free,0
"Fulltofta Gårdsbryggeri AB","Skåne","Hörby","Nunnäs 4109, 242 94 Hörby, Sverige",https://www.fulltoftabryggeri.se/,"070-828 20 11","","[""öl""]",0,1,0,,free,0
"Gamla Bryggeriet","Skåne",Smedstorp,"Storgatan 23, 273 98 Smedstorp, Sverige",http://www.gamlabryggeriet.com/,"076-628 31 96","","[""öl""]",0,1,0,,free,0
"Gessie potatis Gårdsbutik","Skåne",Vellinge,"Gessievägen 143-22, 235 93 Vellinge, Sverige",https://gessiepotatis.se/,"070-914 19 40","","[""grönsaker""]",1,0,0,,free,0
"Glorias Äppelgård","Skåne",Lund,"Ladugårdsmarken 551, 225 91 Lund, Sverige",http://gloriasappelgard.se/,"070-513 32 11","","[""grönsaker""]",1,0,0,,free,0
